Date,AAPL,CAD,EXC,FBNDX,GBP,GE,INTC,PFE,SPGSCI,SPY,VBTIX,XPT
1999-12-31,0.917969,0.69151511,12.39301,6.89,1.6182,309.753998,41.15625,30.775618,194.5372,146.875,9.56,442.5
2000-01-03,0.999442,0.691180536,12.080956,6.85,1.6362,300.246216,43.5,30.241936,194.2237,145.4375,9.52,442.5
2000-01-04,0.915179,0.688325991,11.991797,6.87,1.636,288.236359,41.46875,29.115274,192.3673,139.75,9.54,438.5
2000-01-05,0.928571,0.689655172,12.571327,6.84,1.6426,287.735931,41.8125,29.589659,190.5185,140.0,9.5,420.5
2000-01-06,0.848214,0.684978423,12.593616,6.86,1.6474,291.582855,39.375,30.657021,190.4214,137.75,9.53,412.5
2000-01-07,0.888393,0.686907542,12.593616,6.87,1.6393,302.873352,41.0,32.732449,188.5528,145.75,9.55,417.5
2000-01-10,0.872768,0.686907542,13.351462,6.86,1.6374,302.74826,42.875,32.673149,189.8289,146.25,9.53,418.5
2000-01-11,0.828125,0.686294695,13.262304,6.83,1.6475,303.248657,44.84375,32.258064,193.4622,144.5,9.48,419.5
2000-01-12,0.77846,0.687757909,13.373752,6.82,1.6466,304.249481,45.625,33.325428,195.7564,143.0625,9.47,420.5
2000-01-13,0.863839,0.689322396,13.774964,6.85,1.6472,307.75235,45.53125,35.104362,197.1534,145.0,9.51,425.5
2000-01-14,0.896763,0.689702738,13.730385,6.83,1.6313,302.247833,51.53125,35.104362,202.0791,146.96875,9.49,430.5
2000-01-18,0.928013,0.689417442,13.440621,6.81,1.6379,296.24292,51.0625,34.629982,205.861,145.8125,9.46,434.5
2000-01-19,0.951451,0.688705234,13.685806,6.82,1.645,297.68161,50.03125,35.104362,206.8887,147.0,9.48,449.5
2000-01-20,1.013393,0.691228313,13.4852,6.81,1.6537,292.114532,47.8125,34.526211,208.3103,144.75,9.46,441.5
2000-01-21,0.993862,0.693721818,13.864123,6.82,1.6487,288.486572,48.96875,33.266129,208.4641,144.4375,9.47,437.5
2000-01-24,0.948661,0.692616706,14.488231,6.84,1.6531,276.476715,49.40625,32.613853,206.746,140.34375,9.5,455.5
2000-01-25,1.002232,0.696233377,14.265335,6.84,1.6452,277.227325,50.78125,33.088234,209.0047,141.9375,9.5,458.5
2000-01-26,0.983817,0.694685655,14.577389,6.85,1.6403,283.107147,48.25,33.088234,206.5944,140.8125,9.51,452.5
2000-01-27,0.982143,0.696961249,14.978602,6.85,1.6396,283.732666,49.0625,32.732449,205.0038,140.25,9.52,463.75
2000-01-28,0.907366,0.691371681,14.688837,6.85,1.6201,268.21994,47.0,33.384724,204.4356,135.875,9.52,487.5
2000-01-31,0.926339,0.690655432,14.889444,6.84,1.6162,268.21994,49.46875,34.333492,206.3651,139.5625,9.49,492.5
2000-02-01,0.895089,0.69032169,14.822575,6.85,1.615,272.223236,50.71875,35.104362,209.3361,140.9375,9.51,487.5
2000-02-02,0.882254,0.696136443,14.867154,6.85,1.6088,268.345032,50.03125,34.155598,206.8966,141.0625,9.51,495.5
2000-02-03,0.922433,0.693529371,15.513552,6.88,1.5972,278.728546,52.09375,33.799809,208.716,143.1875,9.55,512.5
2000-02-04,0.964286,0.694058856,15.335235,6.86,1.5918,283.357361,52.375,33.918407,212.2114,142.59375,9.53,510.5
2000-02-07,1.018415,0.69032169,14.978602,6.83,1.598,273.22403,53.96875,35.104362,208.9809,142.375,9.49,507.5
2000-02-08,1.02567,0.692424872,15.11234,6.86,1.6113,274.349976,54.40625,35.875237,205.6049,144.3125,9.52,512.5
2000-02-09,1.00558,0.692520776,15.156919,6.84,1.6169,268.345032,52.3125,34.274193,208.2956,141.28125,9.5,555.0
2000-02-10,1.013393,0.690464683,14.956312,6.82,1.6097,271.09729,53.8125,33.206833,211.0808,141.5625,9.48,542.0
2000-02-11,0.970982,0.689512515,14.711127,6.83,1.5936,267.719543,52.9375,33.206833,210.6448,138.6875,9.49,542.0
2000-02-14,1.03404,0.686294695,14.688837,6.86,1.588,268.970551,54.9375,33.206833,212.7823,139.5,9.52,540.0
2000-02-15,1.0625,0.686766019,14.577389,6.85,1.596,275.225677,56.0,33.740513,212.4397,141.078125,9.51,551.0
2000-02-16,1.018973,0.688373374,14.53281,6.84,1.6077,271.535156,53.59375,32.020874,213.0257,139.0,9.5,560.0
2000-02-17,1.02567,0.689322396,14.354494,6.84,1.609,262.215027,55.0,32.258064,210.6807,138.28125,9.49,552.5
2000-02-18,0.993304,0.689227376,14.109308,6.86,1.6013,250.455368,52.6875,32.258064,209.7584,135.3125,9.52,510.0
2000-02-22,1.016183,0.683994528,14.198466,6.9,1.6126,259.462769,53.375,31.783682,210.5672,134.96875,9.58,528.0
2000-02-23,1.037946,0.684837693,14.399073,6.88,1.6039,261.214203,54.53125,32.258064,211.4364,136.5625,9.54,511.5
2000-02-24,1.028599,0.687947166,13.552068,6.9,1.6003,262.215027,57.125,31.368595,213.5674,133.8125,9.57,473.0
2000-02-25,0.985491,0.690846287,13.752675,6.9,1.5953,252.457016,56.625,30.716318,214.6273,133.328125,9.57,474.0
2000-02-28,1.011161,0.688752669,14.02015,6.87,1.5958,259.087463,56.1875,30.538425,214.2303,136.125,9.54,473.5
2000-02-29,1.023438,0.689797889,13.306883,6.88,1.5792,264.967285,56.5,30.479128,216.0089,137.4375,9.55,481.0
2000-03-01,1.163504,0.689797889,13.46291,6.89,1.5854,262.965637,57.9375,30.241936,222.5149,138.4375,9.56,475.0
2000-03-02,1.089286,0.686341798,13.908702,6.88,1.5766,270.721985,57.875,30.360531,222.1708,138.53125,9.56,460.0
2000-03-03,1.142857,0.689464975,14.087019,6.89,1.5778,278.97876,59.625,30.95351,221.9379,141.125,9.58,465.0
2000-03-06,1.12221,0.688041833,13.819544,6.88,1.5749,275.100586,58.6875,30.064041,224.6126,139.75,9.56,470.0
2000-03-07,1.097098,0.687143544,13.46291,6.89,1.5804,260.088257,57.875,28.462997,230.4045,137.046875,9.57,477.0
2000-03-08,1.089286,0.686813187,13.618937,6.88,1.5817,260.838898,57.46875,30.775618,217.7949,136.875,9.56,475.0
2000-03-09,1.091518,0.686153424,13.663516,6.89,1.5827,258.211731,59.1875,32.613853,219.0231,140.875,9.57,470.0
2000-03-10,1.122768,0.686153424,13.641227,6.87,1.5765,263.591156,60.09375,33.206833,216.8311,140.125,9.54,482.0
2000-03-13,1.083147,0.684181719,13.596648,6.87,1.5792,259.087463,61.0625,32.554554,216.8651,138.59375,9.54,480.0
2000-03-14,1.020089,0.682547266,13.306883,6.88,1.5776,254.20845,58.9375,31.54649,216.0046,136.625,9.56,488.0
2000-03-15,1.037946,0.681570338,13.774964,6.89,1.5732,267.344208,60.09375,33.444023,213.1748,139.8125,9.57,482.0
2000-03-16,1.085379,0.678656261,14.287625,6.89,1.5771,278.228149,62.53125,34.629982,214.0127,146.34375,9.59,484.0
2000-03-17,1.116071,0.680642527,13.730385,6.91,1.5748,279.979584,64.9375,33.977703,213.6732,146.9375,9.61,485.0
2000-03-20,1.098214,0.680688857,13.708096,6.91,1.5689,282.106323,67.5,33.206833,207.0278,146.1875,9.61,495.0
2000-03-21,1.204799,0.680457267,13.819544,6.92,1.5717,301.247009,69.21875,34.807877,208.222,149.1875,9.61,497.0
2000-03-22,1.287388,0.680040802,13.46291,6.92,1.5795,301.99765,72.03125,33.799809,207.4161,150.09375,9.61,498.0
